Focal plane radial distance at f/69 (m),unapod_272_Lg1,apod_272_Lg1,unapod_272_Lg2,apod_272_Lg2,unapod_272_Sm,apod_272_Sm,unapod_453_Lg1,apod_453_Lg1,unapod_453_Lg2,apod_453_Lg2,unapod_453_Sm,apod_453_Sm
0.00013417542857142856,0.00012931758530063564,0.0002471149163285509,0.00010358289476788859,0.00017781533103037467,9.280928527102261e-05,4.541614864202884e-05,4.377765552319726e-05,7.175918230074392e-05,4.2753045733324404e-05,7.987911753688562e-05,2.1497333351439234e-05,5.7729731412551065e-05
0.00013740857142857145,0.00014098404494556548,0.00022684074619375077,9.59900137571362e-05,0.0001506026803176722,7.729155884843215e-05,3.541953879908233e-05,4.239142772659409e-05,6.808685633304325e-05,4.195913412335694e-05,7.564397877970061e-05,2.227168749369054e-05,5.5466465347920985e-05
0.0001406417142857143,0.00019824057568786226,0.00019952828708770051,0.00011834677939374305,0.0001203223883579096,7.910254534649393e-05,2.832127464540199e-05,4.128016638460532e-05,6.447126981281577e-05,4.200886621253523e-05,7.085403984156446e-05,2.3721844595992457e-05,5.112100232989054e-05
0.00014387485714285712,0.0002460936829570399,0.00017097279872999458,0.00013463707192634049,9.333457116550167e-05,7.495124485308908e-05,2.106916196905056e-05,4.009247775189016e-05,5.885549151380232e-05,4.1351250888158696e-05,6.352071410796902e-05,2.3679574329004715e-05,4.4031043482598773e-05
0.00014710800000000002,0.0003104987781374848,0.00014584286456992596,0.0001653991596063938,7.260812343293005e-05,7.983623123990366e-05,1.5891433421896488e-05,4.101322308711626e-05,6.162536097967843e-05,4.5619642315171515e-05,6.479308915956055e-05,2.6413434254646845e-05,4.106469741285809e-05
0.00015034114285714285,0.00033617435853772047,0.00012100819725822622,0.0001703817692376333,5.5068520703433084e-05,6.759829205385358e-05,1.0330826627201738e-05,4.232927909770548e-05,5.361291125284962e-05,4.690628115295441e-05,5.518125365059286e-05,2.754629170293104e-05,3.36073763669033e-05
0.00015357428571428572,0.0003688269658700345,8.958835110194783e-05,0.00018518522129218435,3.8188558028541725e-05,6.401414063049476e-05,6.638369794311904e-06,4.275842350289163e-05,4.6516100005299126e-05,4.849451761297132e-05,4.66761755227494e-05,2.9164141940648194e-05,2.7169577708747028e-05
0.00015680742857142858,0.00039062065274576466,7.299126365996825e-05,0.00019550476572769728,3.447299619535429e-05,5.8905371221306935e-05,5.337229490558566e-06,4.554359843449147e-05,4.573421160564565e-05,5.51540089726069e-05,4.415716404706593e-05,3.1819299654299646e-05,2.2063360632525448e-05
0.00016004057142857142,0.0003610726866395228,5.298775003282126e-05,0.00018008906942429577,2.80489034638033e-05,4.903958728057829e-05,5.288000513803164e-06,4.4210469453639284e-05,3.174253594333658e-05,4.925725166177987e-05,3.0099334425383925e-05,2.891990513861848e-05,1.5679226991743686e-05
0.00016327371428571428,0.0003394259071423504,4.5657519908931696e-05,0.00017206635492368874,3.525741353161865e-05,4.2830834513883474e-05,7.973675968330106e-06,4.7686931882757955e-05,2.9635949496549297e-05,5.56464836707744e-05,2.7353922502186687e-05,3.275978218121219e-05,1.357969290948716e-05
0.00016650685714285715,0.0002859848567531105,4.107771085077775e-05,0.00014798391781481064,4.3357163043911446e-05,3.51639937653202e-05,1.1736993913097521e-05,4.6779423478365e-05,2.191184161777183e-05,5.2480479309648014e-05,1.9489397820416514e-05,3.0192809387254856e-05,1.0171089321927994e-05
0.00016973999999999998,0.00023822477476640022,5.1066453431329615e-05,0.00012661400262081702,6.118712709850405e-05,2.998668882308899e-05,1.7868053979691735e-05,4.9651241638097304e-05,1.8695593710576548e-05,5.547623682874576e-05,1.6240899264622698e-05,3.0728377187595544e-05,9.241661785090473e-06
0.00017297314285714288,0.0001742450786959076,5.633643154021918e-05,9.711028907546353e-05,7.087598421122248e-05,2.5265676124174663e-05,2.1640533589934257e-05,4.7674801396723184e-05,1.5083856193414125e-05,5.0729835817662716e-05,1.3163476835971545e-05,2.9145627836430448e-05,1.0437794088262167e-05
0.0001762062857142857,0.00011501327816320336,7.56086160297758e-05,6.86635364773082e-05,9.063905009192098e-05,2.1310633170783576e-05,2.7881700375181136e-05,4.5610821476171184e-05,1.3665756378928585e-05,4.709843145274869e-05,1.2027234019162732e-05,2.6511911861795904e-05,1.154533900807672e-05
0.00017943942857142855,7.181691243857903e-05,0.00010279441155109787,4.84201841222046e-05,0.0001137294174655609,2.1675930818471886e-05,3.560700866267458e-05,4.9401908284980705e-05,1.2219307522839715e-05,4.9208645868817935e-05,1.0928117530125874e-05,2.682165515102125e-05,1.3474536676228072e-05
0.00018267257142857144,3.567186783128263e-05,0.00011827819483761476,2.8342875594590086e-05,0.00012158774122844842,1.9041901212403843e-05,3.638921289253593e-05,4.277638822737113e-05,1.5246603099522718e-05,3.9790791783519355e-05,1.3881214950184242e-05,2.100489350955305e-05,1.651098554953148e-05
