SpT,g,r,i,z,SpT Number
M3V,-0.6001899481992528,-0.04869430973339384,0.1861090672902499,0.07470647142921827,6.3
M4V,-0.5567474330238706,-0.05138281692623892,0.19689769210579655,0.07826177569014092,6.4
M5V,-0.5206326663224043,-0.055754430490742024,0.22383670630240715,0.08597467298852912,6.5
M6V,-0.4080517290794088,-0.05982760752915439,0.26296796761519303,0.09607567002340112,6.6
O8III,-1.6396972798646061,0.008355670424817774,0.06804360014472621,0.03982953486804597,0.8
B12III,-1.5929282422213777,0.006587794151935,0.07605107226540753,0.03755754661124122,1.1
B3III,-1.55224318547093,0.008485691288701247,0.07874961204039543,0.042593550509128164,1.3
B5III,-1.5369426589764057,0.0035562942453335467,0.08019623358018535,0.04331499025636987,1.5
B9III,-1.5021236765833788,0.0024079438211366266,0.07932116818570023,0.048809598757534545,1.9
A0III,-1.4268476499011378,0.00267930302132946,0.08055240954626441,0.046118421972112245,2.0
A3III,-1.3639706328114407,-0.00018994135773553467,0.08192923315736778,0.0486396589187823,2.3
A5III,-1.3426784206010112,-0.00023673346730923583,0.08287572456892889,0.052101727330324366,2.5
A7III,-1.3314176479633382,-0.0028914252770757543,0.0885756928639907,0.048099335878909244,2.7
F0III,-1.2982613330368924,-0.0034156743274227352,0.09385483045139154,0.05256358299128294,3.0
F2III,-1.2166682957713473,-0.007006961386766264,0.09427572254380578,0.055178504200611656,3.2
F5III,-1.2179198201554442,-0.007523598647830809,0.09667841340916894,0.05317100887140924,3.5
G0III,-1.0945082225056169,-0.010961990799742694,0.10433428311962523,0.05386485922336526,4.0
G5III,-0.9937671748819028,-0.013009082566195929,0.10799729162487459,0.05498884958688954,4.5
G8III,-0.9953756045124305,-0.012756652675447455,0.11020868514138016,0.05721911288240733,4.8
K0III,-0.9453876187557064,-0.015536531534996456,0.11016304879623107,0.05869369398065594,5.0
K1III,-0.8943536048423812,-0.014511680101549018,0.1146201731500085,0.06192140691987014,5.1
K2III,-0.8444158669802668,-0.01693057633018391,0.11560847687778875,0.06058848767694158,5.2
K3III,-0.7892531660274305,-0.016064137698036163,0.11596464992892486,0.06351525846532624,5.3
K4III,-0.7432353835797016,-0.019287192505967,0.12232439241646276,0.06652594520608268,5.4
K5III,-0.7052078509445412,-0.022572512680866907,0.129567823053085,0.06520398182220077,5.5
M0III,-0.7187887752283917,-0.018780003733530393,0.13990793153141468,0.06928238816107246,6.0
M1III,-0.7040196660116713,-0.02112095954296045,0.14767551157502723,0.06910835339562382,6.1
M2III,-0.6780366752965499,-0.024560679544283204,0.15168563125055634,0.06966357601729634,6.2
M3III,-0.6604343806554471,-0.027750876413550785,0.1677753679393863,0.07365922332932762,6.3
M4III,-0.6304482110371925,-0.034818730611210214,0.19001111155956707,0.07824386983959641,6.4
M5III,-0.6272269465503406,-0.046198101906007594,0.21360768310337797,0.08764414151833577,6.5
M6III,-0.6255673549220777,-0.05571731879267183,0.2470093790336616,0.1017199858901705,6.6
M7III,-0.6872807187086618,-0.06512764936309878,0.2992895473097814,0.12293296103499429,6.7
M8III,-0.6559491893033673,-0.07702856929051372,0.3388980066664917,0.16950107443182105,6.8
M9III,-0.5861623452651834,-0.10792844082796726,0.3221757538332781,0.17578227672033186,6.9
M10III,-0.6039408491827984,-0.1477838869940271,0.3522327411256576,0.18441321223618523,7.0
